song,artist,label,year,month,weeks,key,verse1,verse2,verse3,verse4,verse_all,chorus1,chorus2,chorus3,chorus4,chorus_all,bridge1,bridge2,bridge3,bridge4,bridge_all
Come Back Home,2NE1,YG,2014,March,2,,,,,,,,,,,,,,,,
Mr.Mr.,Girl's Generation,SM,2014,March,1,,,,,,,,,,,,,,,,
Some,"Soyou, Jung Gi Go",Starship,2014,February,2,,,,,,,,,,,,,,,,
Let It Go,Idina Menzel,NA,2014,February,2,,,,,,,,,,,,,,,,
Hello,Hyolyn,Starship,2014,January,1,,,,,,,,,,,,,,,,
Shower Later,Gary,Leessang Company,2014,January,1,,,,,,,,,,,,,,,,
Singing Got Better,Ailee,YMC,2014,January,1,,,,,,,,,,,,,,,,
We Back Then,MC the Max,Music&NEW,2014,January,1,,,,,,,,,,,,,,,,
Friday,IU,LOEN,2013,December,1,,,,,,,,,,,,,,,,
"Dali, Van, Picasso",Beenzino,Illionaire,2013,December,1,,,,,,,,,,,,,,,,
Winter Propose,"Sung Si-kyung,ÊPark Hyo-shin, Seo In-guk,ÊVIXX, Yeo Dong-saeng",Jellyfish,2013,December,1,,,,,,,,,,,,,,,,
Loved You,"Seo In-guk, Zia",Jellyfish,2013,December,1,,,,,,,,,,,,,,,,
One Way Love,Hyolyn,Starship,2013,November,1,,,,,,,,,,,,,,,,
Missing You,2NE1,YG,2013,November,1,,,,,,,,,,,,,,,,
The Letter,Davichi,Core Contents Media,2013,November,1,,,,,,,,,,,,,,,,
I Got C,"Park Myeong-soo, Primary",Infinite Challenge,2013,November,1,,,,,,,,,,,,,,,,
Now,Trouble Maker,Cube,2013,November,1,,,,,,,,,,,,,,,,
You Don't Know Love,K.Will,Starship,2013,October,1,,,,,,,,,,,,,,,,
Everybody,Shinee,SM,2013,October,1,,,,,,,,,,,,,,,,
The Red Shoes,IU,LOEN,2013,October,1,,,,,,,,,,,,,,,,
"Love, At First",Busker Busker,Chungchun Music,2013,September,2,,,,,,,,,,,,,,,,
Stupid In Love,"Soyou, Mad Clown",Starship,2013,September,2,,,,,,,,,,,,,,,,
Who You?,G-Dragon,YG,2013,September,1,,,,,,,,,,,,,,,,
Touch Love,Yoon Mi-rae,Feel Ghood Music,2013,August,1,,,,,,,,,,,,,,,,
Attraction,Bumkey,Brand New Music,2013,August,1,,,,,,,,,,,,,,,,
That You're Mine,Huh Gak,Plan A,2013,August,1,,,,,,,,,,,,,,,,
Story of Someone I Know,San E,Brand New Music,2013,August,1,,,,,,,,,,,,,,,,
Rum Pum Pum Pum,f(x),SM,2013,August,1,,,,,,,,,,,,,,,,
U&I,Ailee,YMC,2013,July,2,,,,,,,,,,,,,,,,
Falling in Love,2NE1,YG,2013,July,1,,,,,,,,,,,,,,,,
BAAAM,Dynamic Duo,Amoeba Culture,2013,July,1,,,,,,,,,,,,,,,,
My Love,Lee Seung Chul,CJ,2013,June,1,,,,,,,,,,,,,,,,
Give It to Me,Sistar,Starship,2013,June,2,,,,,,,,,,,,,,,,
Short Hair,"Jung Eun-ji, Huh Gak",Plan A,2013,June,1,,,,,,,,,,,,,,,,
Will You Be Okay?,Beast,Cube,2013,June,1,,,,,,,,,,,,,,,,
Bad Girls,Lee Hyori,B2M,2013,May,1,,,,,,,,,,,,,,,,
What's Your Name,4Minute,Cube,2013,May,1,,,,,,,,,,,,,,,,
Miss Korea,Lee Hyori,B2M,2013,May,1,,,,,,,,,,,,,,,,
Spring Spring Spring,Roy Kim,CJ,2013,April,2,,,,,,,,,,,,,,,,
Gentleman,Psy,YG,2013,April,2,,,,,,,,,,,,,,,,
Be Warmed,Davichi,Core Contents Media,2013,April,1,,,,,,,,,,,,,,,,
Rose,Lee Hi,YG,2013,March,1,,,,,,,,,,,,,,,,
Crescendo,Akdong Musician,YG,2013,March,2,,,,,,,,,,,,,,,,
Turtle,Davichi,Core Contents Media,2013,March,1,,,,,,,,,,,,,,,,
Dream Girl,Shinee,SM,2013,February,1,,,,,,,,,,,,,,,,
Gone Not Around Any Longer,Sistar19,Starship,2013,February,2,,,,,,,,,,,,,,,,
Tears,Leessang,Leessang Company,2013,February,1,,,,,,,,,,,,,,,,
Shower of Tears,Baechigi,YMC,2013,January,1,,,,,,,,,,,,,,,,
Gangbuk Cool Guy,Jung Hyung Don,FNC,2013,January,1,,,,,,,,,,,,,,,,
I Got a Boy,Girl's Generation,SM,2013,January,1,,,,,,,,,,,,,,,,
Dancing Queen,Girl's Generation,SM,2012,December,1,,,,,,,,,,,,,,,,
You Are Attractive,Akdong Musician,YG,2012,December,1,,,,,,,,,,,,,,,,
